customer_id,name,segment,region,signup_date,street_address,latitude,longitude
CUST-00001,Silverline Hardware Group,smb,South,2023-02-20,"3554 Warehouse Pkwy, Dallas, TX 97082",32.6962,-96.7967
CUST-00002,Redwood Trading Partners,enterprise,South,2025-03-31,"3701 Industrial Rd, Houston, TX 78345",29.6822,-95.3513
CUST-00003,Ironwood Provisions LLC,enterprise,West,2026-04-14,"6349 Warehouse Blvd, Seattle, WA 56442",47.5668,-122.2215
CUST-00004,Silverline Logistics LLC,smb,Midwest,2024-03-27,"4403 Ironwood Ave, Columbus, OH 38148",40.0027,-82.8637
CUST-00005,Harborview Provisions Inc.,mid-market,West,2024-05-06,"5817 Ironwood St, Denver, CO 71197",39.6502,-104.8348
CUST-00006,Silverline Hardware Group,enterprise,South,2025-10-20,"5638 Lakeshore Blvd, Charlotte, NC 46690",35.1961,-80.8196
CUST-00007,Cascade Provisions Group,mid-market,South,2026-03-23,"2094 Commerce Rd, Charlotte, NC 18815",35.2671,-80.6831
CUST-00008,Blue Ridge Contractors Group,reseller,South,2022-09-17,"3021 Warehouse Blvd, Dallas, TX 62528",32.6068,-96.7418
CUST-00009,Timberline Outfitters Group,reseller,West,2026-06-01,"6200 Riverside St, Portland, OR 69072",45.3752,-122.5892
CUST-00010,Blue Ridge Logistics Group,reseller,West,2023-03-07,"1751 Cedar Way, San Francisco, CA 56246",37.8349,-122.5398
CUST-00011,Northwind Hardware Inc.,mid-market,Northeast,2024-04-01,"7116 Lakeshore Way, New York, NY 35693",40.7284,-73.9245
CUST-00012,Redwood Industrial LLC,smb,Midwest,2025-10-18,"9805 Cedar Blvd, Minneapolis, MN 12932",45.1463,-93.4278
CUST-00013,Harborview Distributors,mid-market,West,2023-06-19,"9154 Ironwood St, Denver, CO 89358",39.6881,-105.0395
CUST-00014,Harborview Trading Partners,smb,West,2023-06-07,"9117 Cascade Blvd, Los Angeles, CA 58375",34.0481,-118.1306
CUST-00015,Redwood Distributors Partners,reseller,West,2023-05-30,"1604 Meridian St, Phoenix, AZ 24642",33.3809,-111.9727
CUST-00016,Copper Creek Hardware,enterprise,South,2022-11-03,"661 Warehouse Rd, Houston, TX 84057",29.6015,-95.3905
CUST-00017,Silverline Supply,reseller,West,2023-01-18,"4962 Commerce Blvd, San Francisco, CA 64667",37.8926,-122.441
CUST-00018,Coastal Provisions Partners,reseller,Northeast,2023-03-22,"1316 Harbor Way, New York, NY 72191",40.8303,-74.0861
CUST-00019,Coastal Logistics LLC,smb,Midwest,2025-05-20,"7373 Ironwood Ave, Columbus, OH 69674",39.7868,-83.1648
