note_id,customer_id,note,follow_up_date,status,tag
NOTE-0001,CUST-00250,Upsell opportunity: safety line — Anchor Outfitters Co.,2026-09-15T00:00:00Z,open,billing
NOTE-0002,CUST-00525,Follow up on renewal quote — Anchor Industrial LLC,2026-08-26T00:00:00Z,open,onboarding
NOTE-0003,CUST-00754,Contract up for renewal next quarter — Highland Provisions Group,2026-09-26T00:00:00Z,open,renewal
NOTE-0004,CUST-00073,Invoice dispute pending review — Copper Creek Provisions Co.,2026-09-08T00:00:00Z,resolved,billing
NOTE-0005,CUST-00591,Contract up for renewal next quarter — Coastal Trading LLC,2026-10-05T00:00:00Z,resolved,billing
NOTE-0006,CUST-00232,Upsell opportunity: safety line — Harborview Provisions Co.,2026-08-17T00:00:00Z,in-progress,onboarding
NOTE-0007,CUST-00714,Onboarding call scheduled — Blue Ridge Provisions,2026-09-12T00:00:00Z,open,support
NOTE-0008,CUST-00117,Customer requested bulk pricing — Harborview Outfitters LLC,2026-08-24T00:00:00Z,in-progress,renewal
NOTE-0009,CUST-00464,Escalated shipping delay — Cascade Supply Co.,2026-09-26T00:00:00Z,in-progress,renewal
NOTE-0010,CUST-00457,Invoice dispute pending review — Meridian Industrial Group,2026-09-09T00:00:00Z,resolved,onboarding
NOTE-0011,CUST-00656,Customer requested bulk pricing — Harborview Supply LLC,2026-09-13T00:00:00Z,resolved,upsell
NOTE-0012,CUST-00068,Contract up for renewal next quarter — Granite Hardware Co.,2026-09-20T00:00:00Z,in-progress,billing
NOTE-0013,CUST-00297,Onboarding call scheduled — Redwood Logistics LLC,2026-09-05T00:00:00Z,open,onboarding
NOTE-0014,CUST-00400,Invoice dispute pending review — Cascade Provisions LLC,2026-08-26T00:00:00Z,resolved,support
NOTE-0015,CUST-00695,Requested product catalog — Silverline Logistics LLC,2026-09-09T00:00:00Z,resolved,onboarding
NOTE-0016,CUST-00016,Customer requested bulk pricing — Copper Creek Hardware,2026-09-30T00:00:00Z,open,renewal
NOTE-0017,CUST-00715,Contract up for renewal next quarter — Coastal Distributors Partners,2026-08-28T00:00:00Z,in-progress,onboarding
NOTE-0018,CUST-00540,Upsell opportunity: safety line — Northwind Hardware Partners,2026-10-03T00:00:00Z,resolved,billing
NOTE-0019,CUST-00141,Upsell opportunity: safety line — Meridian Trading Group,2026-08-18T00:00:00Z,resolved,onboarding
NOTE-0020,CUST-00584,Upsell opportunity: safety line — Cascade Logistics Group,2026-08-19T00:00:00Z,open,support
NOTE-0021,CUST-00015,Follow up on renewal quote — Redwood Distributors Partners,2026-09-02T00:00:00Z,open,billing
NOTE-0022,CUST-00611,Requested product catalog — Blue Ridge Contractors Inc.,2026-09-20T00:00:00Z,open,onboarding
NOTE-0023,CUST-00711,Invoice dispute pending review — Redwood Industrial Co.,2026-09-20T00:00:00Z,open,billing
NOTE-0024,CUST-00404,Requested product catalog — Ironwood Hardware Group,2026-09-12T00:00:00Z,resolved,support
NOTE-0025,CUST-00110,Follow up on renewal quote — Coastal Supply Inc.,2026-09-18T00:00:00Z,open,upsell
NOTE-0026,CUST-00540,Follow up on renewal quote — Northwind Hardware Partners,2026-09-23T00:00:00Z,resolved,renewal
NOTE-0027,CUST-00356,Customer requested bulk pricing — Coastal Outfitters,2026-10-09T00:00:00Z,in-progress,upsell
NOTE-0028,CUST-00356,Requested product catalog — Coastal Outfitters,2026-08-18T00:00:00Z,resolved,billing
NOTE-0029,CUST-00242,Customer requested bulk pricing — Granite Logistics LLC,2026-08-11T00:00:00Z,in-progress,onboarding
NOTE-0030,CUST-00357,Upsell opportunity: safety line — Cascade Provisions Partners,2026-09-03T00:00:00Z,in-progress,renewal
NOTE-0031,CUST-00059,Follow up on renewal quote — Harborview Industrial Inc.,2026-08-13T00:00:00Z,resolved,support
NOTE-0032,CUST-00703,Escalated shipping delay — Granite Logistics LLC,2026-08-20T00:00:00Z,resolved,support
NOTE-0033,CUST-00586,Onboarding call scheduled — Cascade Industrial,2026-08-11T00:00:00Z,resolved,billing
NOTE-0034,CUST-00114,Follow up on renewal quote — Redwood Contractors,2026-10-11T00:00:00Z,resolved,billing
NOTE-0035,CUST-00203,Contract up for renewal next quarter — Silverline Supply LLC,2026-08-13T00:00:00Z,open,support
NOTE-0036,CUST-00478,Customer requested bulk pricing — Anchor Outfitters Partners,2026-10-10T00:00:00Z,open,billing
NOTE-0037,CUST-00694,Upsell opportunity: safety line — Meridian Logistics LLC,2026-10-10T00:00:00Z,open,upsell
NOTE-0038,CUST-00014,Customer requested bulk pricing — Harborview Trading Partners,2026-09-26T00:00:00Z,resolved,renewal
NOTE-0039,CUST-00499,Invoice dispute pending review — Redwood Outfitters Group,2026-09-12T00:00:00Z,in-progress,onboarding
NOTE-0040,CUST-00192,Onboarding call scheduled — Redwood Outfitters Group,2026-09-27T00:00:00Z,resolved,support
