shipment_id,origin_site_id,dest_site_id,customer_id,ship_date,units,weight_kg
SHIP-000001,SITE-001,SITE-011,CUST-00326,2024-11-29,161,189.98
SHIP-000002,SITE-012,SITE-015,CUST-00196,2026-05-30,254,1772.92
SHIP-000003,SITE-007,SITE-005,CUST-00331,2025-07-10,31,359.91
SHIP-000004,SITE-002,SITE-005,CUST-00655,2026-04-23,220,1876.6
SHIP-000005,SITE-001,SITE-011,CUST-00093,2024-12-06,194,591.7
SHIP-000006,SITE-011,SITE-015,CUST-00781,2026-05-25,173,1032.81
SHIP-000007,SITE-004,SITE-002,CUST-00577,2025-03-16,133,1528.17
SHIP-000008,SITE-009,SITE-003,CUST-00434,2025-09-13,385,712.25
SHIP-000009,SITE-003,SITE-006,CUST-00655,2026-05-20,263,1635.86
SHIP-000010,SITE-014,SITE-006,CUST-00121,2025-04-02,348,1144.92
SHIP-000011,SITE-014,SITE-011,CUST-00186,2025-03-08,24,17.52
SHIP-000012,SITE-011,SITE-003,CUST-00499,2026-02-13,170,477.7
SHIP-000013,SITE-007,SITE-014,CUST-00395,2025-11-18,124,918.84
SHIP-000014,SITE-002,SITE-003,CUST-00005,2026-08-13,194,1848.82
SHIP-000015,SITE-014,SITE-009,CUST-00659,2026-04-20,67,429.47
SHIP-000016,SITE-010,SITE-005,CUST-00280,2024-09-16,299,340.86
SHIP-000017,SITE-013,SITE-007,CUST-00221,2025-04-28,247,2114.32
SHIP-000018,SITE-012,SITE-005,CUST-00693,2024-12-22,119,178.5
SHIP-000019,SITE-009,SITE-005,CUST-00689,2026-02-19,199,1140.27
SHIP-000020,SITE-001,SITE-007,CUST-00626,2025-07-31,315,2192.4
SHIP-000021,SITE-008,SITE-010,CUST-00006,2025-12-30,394,1871.5
SHIP-000022,SITE-008,SITE-015,CUST-00648,2024-09-17,97,544.17
SHIP-000023,SITE-006,SITE-003,CUST-00006,2026-01-12,29,189.08
SHIP-000024,SITE-007,SITE-005,CUST-00784,2025-06-08,385,2194.5
SHIP-000025,SITE-004,SITE-005,CUST-00396,2024-08-11,272,2940.32
SHIP-000026,SITE-004,SITE-011,CUST-00753,2024-06-18,91,372.19
SHIP-000027,SITE-007,SITE-004,CUST-00149,2026-01-11,222,2379.84
SHIP-000028,SITE-003,SITE-007,CUST-00764,2025-03-23,54,177.12
SHIP-000029,SITE-013,SITE-007,CUST-00403,2024-12-17,333,1475.19
SHIP-000030,SITE-008,SITE-013,CUST-00506,2025-09-28,6,64.08
