shipment_id,origin_site_id,dest_site_id,customer_id,ship_date,units,weight_kg
SHIP-000001,SITE-001,SITE-011,CUST-00163,2024-11-29,161,189.98
SHIP-000002,SITE-012,SITE-015,CUST-00098,2026-05-30,254,1772.92
SHIP-000003,SITE-007,SITE-005,CUST-00166,2025-07-10,31,359.91
SHIP-000004,SITE-002,SITE-005,CUST-00328,2026-04-23,220,1876.6
SHIP-000005,SITE-001,SITE-011,CUST-00047,2024-12-06,194,591.7
SHIP-000006,SITE-011,SITE-015,CUST-00391,2026-05-25,173,1032.81
SHIP-000007,SITE-004,SITE-002,CUST-00289,2025-03-16,133,1528.17
SHIP-000008,SITE-009,SITE-003,CUST-00217,2025-09-13,385,712.25
SHIP-000009,SITE-003,SITE-006,CUST-00328,2026-05-20,263,1635.86
SHIP-000010,SITE-014,SITE-006,CUST-00061,2025-04-02,348,1144.92
SHIP-000011,SITE-014,SITE-011,CUST-00093,2025-03-08,24,17.52
SHIP-000012,SITE-011,SITE-003,CUST-00250,2026-02-13,170,477.7
SHIP-000013,SITE-007,SITE-014,CUST-00198,2025-11-18,124,918.84
SHIP-000014,SITE-002,SITE-003,CUST-00003,2026-08-13,194,1848.82
SHIP-000015,SITE-014,SITE-009,CUST-00330,2026-04-20,67,429.47
SHIP-000016,SITE-010,SITE-005,CUST-00140,2024-09-16,299,340.86
SHIP-000017,SITE-013,SITE-007,CUST-00111,2025-04-28,247,2114.32
SHIP-000018,SITE-012,SITE-005,CUST-00347,2024-12-22,119,178.5
SHIP-000019,SITE-009,SITE-005,CUST-00345,2026-02-19,199,1140.27
SHIP-000020,SITE-001,SITE-007,CUST-00313,2025-07-31,315,2192.4
SHIP-000021,SITE-008,SITE-010,CUST-00003,2025-12-30,394,1871.5
SHIP-000022,SITE-008,SITE-015,CUST-00324,2024-09-17,97,544.17
SHIP-000023,SITE-006,SITE-003,CUST-00003,2026-01-12,29,189.08
SHIP-000024,SITE-007,SITE-005,CUST-00392,2025-06-08,385,2194.5
SHIP-000025,SITE-004,SITE-005,CUST-00198,2024-08-11,272,2940.32
SHIP-000026,SITE-004,SITE-011,CUST-00377,2024-06-18,91,372.19
SHIP-000027,SITE-007,SITE-004,CUST-00075,2026-01-11,222,2379.84
SHIP-000028,SITE-003,SITE-007,CUST-00382,2025-03-23,54,177.12
SHIP-000029,SITE-013,SITE-007,CUST-00202,2024-12-17,333,1475.19
SHIP-000030,SITE-008,SITE-013,CUST-00253,2025-09-28,6,64.08
SHIP-000031,SITE-001,SITE-005,CUST-00051,2025-03-08,226,2382.04
SHIP-000032,SITE-006,SITE-007,CUST-00032,2026-04-01,332,235.72
SHIP-000033,SITE-010,SITE-015,CUST-00019,2026-03-15,277,662.03
SHIP-000034,SITE-001,SITE-014,CUST-00131,2026-05-29,199,1830.8
SHIP-000035,SITE-006,SITE-009,CUST-00193,2024-04-22,11,121.33
SHIP-000036,SITE-005,SITE-002,CUST-00065,2026-05-19,169,976.82
SHIP-000037,SITE-009,SITE-012,CUST-00398,2024-12-02,318,2855.64
SHIP-000038,SITE-013,SITE-009,CUST-00297,2025-05-19,39,122.85
