transaction_id,customer_id,product_id,site_id,occurred_at,quantity,amount,channel
TXN-000000001,CUST-00738,PROD-0061,SITE-013,2025-12-24T16:22:58Z,31,6556.81,field-sales
TXN-000000002,CUST-00044,PROD-0095,SITE-014,2024-09-03T23:34:18Z,14,1206.94,retail
TXN-000000003,CUST-00127,PROD-0084,SITE-005,2025-08-26T23:53:28Z,10,2673.1,online
TXN-000000004,CUST-00742,PROD-0019,SITE-005,2026-05-18T16:30:23Z,9,433.62,field-sales
TXN-000000005,CUST-00108,PROD-0019,SITE-015,2024-10-09T07:28:44Z,2,763.62,distributor
TXN-000000006,CUST-00312,PROD-0097,SITE-014,2025-04-13T17:40:45Z,20,6415.4,field-sales
TXN-000000007,CUST-00084,PROD-0010,SITE-008,2025-09-08T20:43:53Z,3,850.23,distributor
TXN-000000008,CUST-00251,PROD-0070,SITE-012,2025-12-20T02:30:15Z,3,324.33,field-sales
TXN-000000009,CUST-00146,PROD-0103,SITE-002,2024-04-09T18:55:48Z,30,3894.3,retail
TXN-000000010,CUST-00265,PROD-0053,SITE-010,2026-08-13T23:26:07Z,9,355.23,field-sales
TXN-000000011,CUST-00783,PROD-0003,SITE-008,2026-04-27T08:33:59Z,40,6659.6,retail
TXN-000000012,CUST-00321,PROD-0109,SITE-006,2026-08-20T04:12:34Z,33,9836.31,distributor
TXN-000000013,CUST-00028,PROD-0109,SITE-005,2025-05-05T08:03:06Z,8,1451.76,online
TXN-000000014,CUST-00091,PROD-0087,SITE-001,2026-03-02T13:22:10Z,25,8849,online
TXN-000000015,CUST-00670,PROD-0107,SITE-011,2025-08-31T00:32:12Z,7,632.31,distributor
TXN-000000016,CUST-00684,PROD-0003,SITE-003,2024-07-01T20:46:30Z,23,4910.5,field-sales
TXN-000000017,CUST-00069,PROD-0081,SITE-013,2024-11-15T04:59:31Z,30,8892.3,field-sales
TXN-000000018,CUST-00132,PROD-0095,SITE-007,2026-04-21T22:31:24Z,6,514.02,online
TXN-000000019,CUST-00423,PROD-0031,SITE-005,2026-04-28T08:43:55Z,13,3757.52,retail
TXN-000000020,CUST-00149,PROD-0115,SITE-006,2024-09-15T11:36:58Z,20,5302.8,retail
TXN-000000021,CUST-00134,PROD-0075,SITE-003,2024-04-28T17:59:55Z,34,6986.66,field-sales
TXN-000000022,CUST-00042,PROD-0034,SITE-007,2025-07-18T08:16:05Z,35,8636.6,retail
